,Dates,Text
72,2021-10-28 08:53:52+00:00,"#REL #RELIANCE BLAAASTED

SHORTED AT 2619.3
LOW MADE SO FAR 2594+
LOT SIZE 250

#HADC #INDICATOR

#nifty #nifty50… https://t.co/wBGz0NMLu8"
73,2021-10-28 08:44:53+00:00,"ICICIBANK, HDFCBANK, ITC, RELIANCE &amp; TCS are the stocks dragging the Index down highest. 

Navigate here to know wh… https://t.co/sV5xibXNXi"
74,2021-10-28 08:23:45+00:00,"RT @ProfitKing7: 10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank
💥Infosy…"
75,2021-10-28 07:46:32+00:00,#Nifty 18000 put writing going on .. ViX up by 4.59% making higher bottom..intraday base formation  #RT… https://t.co/5A41J3cCOl
76,2021-10-28 07:40:40+00:00,"@ShahZadaSays Market है यहा कोई right कोई wrong नहीं होता...
Reliance took 11 years to give multi fold return...
In… https://t.co/7XRJK4KoH9"
77,2021-10-28 07:31:05+00:00,Reliance Steel &amp; Aluminum Co current quarter revenue growth YoY of 69.30% ranked 869 out of 5625 companies in our d… https://t.co/Ocu1glCuas
78,2021-10-28 06:24:25+00:00,"Reliance Entertainment CEO looks to buy Anil Ambani film firm via US SPAC Shibasish Sarkar, the group chief executi… https://t.co/y9WkiSKwzv"
79,2021-10-28 05:32:18+00:00,"BPW-INTRADAY CALL:

BUY RELIANCE: 2615

TGT: 2650

SL:2590

For disc refer https://t.co/tkLZXAUSuh
#SGXNifty… https://t.co/IFcYwpBL5F"
80,2021-10-28 05:20:14+00:00,#Nifty #Nifty50 support building up around  18050-17950 resistance buildup 18200 #stocks #StockMarket #Nasdaq #USDT… https://t.co/TCOpLE11Kx
81,2021-10-28 05:13:58+00:00,"RT @RSmartMoney: The spread between G-Sec yield and Nifty earnings yield has gone up to a historical average of 190bps, which may be a caus…"
82,2021-10-28 05:09:12+00:00,"RT @ProfitKing7: 10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank
💥Infosy…"
83,2021-10-28 05:00:50+00:00,"Reliance, IndiGo, Bajaj Auto, Zee Entertainment, IndusInd Bank, BPCL stocks in focus - The Financial Express"
84,2021-10-28 04:28:19+00:00,"Buy: #RELIANCE  Price: 2627.4  Signal Date: 2021-10-27

System generated signal, trade at your own risk
#stocktips… https://t.co/FMI0iT5K3m"
85,2021-10-28 04:25:37+00:00,"RT @ProfitKing7: 10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank
💥Infosy…"
86,2021-10-28 04:20:50+00:00,Fundamental shift happening in US Economy driven by #Bitcoin evolution will disrupt the economies of world badly in… https://t.co/c28vtG8jGV
87,2021-10-28 03:40:04+00:00,"28 POINTS GAP DOWN OPENING AT #NIFTY50, BANKNIFTY IN GREEN, ANOTHER CONFUSED OPENING..

STOCKS TO TRADE:
#HDFC… https://t.co/e9s6BabaiM"
88,2021-10-28 03:05:55+00:00,"Positive-looking stocks (3):
Trade theme for long ideas: Support confirmation or a breakout above resistance
PVR: R… https://t.co/o82OjTlmtW"
89,2021-10-28 02:29:58+00:00,"RT @ProfitKing7: 10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank
💥Infosy…"
90,2021-10-28 02:00:08+00:00,"Reliance JV gets India IP rights for Lee Cooper Born in 1908, with its heritage in denim, Lee Cooper is today a mul… https://t.co/8i4dFDCgEZ"
91,2021-10-28 01:45:52+00:00,"So many tweets on #ITC #results, like the #budget day.
Average results IMO, for a top FMCG MNC #stocks. Compare it… https://t.co/4Lvr93X9Lq"
92,2021-10-27 23:31:09+00:00,"Reliance Power Q2 results: Firm posts Rs 49 cr loss Total income stood at Rs 1,886.82 crore in the quarter under re… https://t.co/dNaTDZz3tS"
93,2021-10-27 17:31:29+00:00,"RT @ProfitKing7: 10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank
💥Infosy…"
94,2021-10-27 17:27:33+00:00,"10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank… https://t.co/vmihgHAtmW"
95,2021-10-27 17:16:37+00:00,"RT @SHAREMARKETBAB1: #stocks #StockMarketindia #IEX
#tatapower #OptionsTrading #NIFTYMETAL
#nifty50 #StockMarket #Reliance #banknifty

*POS…"
96,2021-10-27 16:46:07+00:00,"RT @SHAREMARKETBAB1: #stocks #StockMarketindia #IEX
#tatapower #OptionsTrading #NIFTYMETAL
#nifty50 #StockMarket #Reliance #banknifty

*POS…"
97,2021-10-27 16:01:54+00:00,"#stocks #StockMarketindia #IEX
#tatapower #OptionsTrading #NIFTYMETAL
#nifty50 #StockMarket #Reliance #banknifty

*… https://t.co/wNHSHmLpmO"
98,2021-10-27 15:46:04+00:00,"RIL arm offers Rs 375 per share to acquire 26% stake in Sterling and Wilson Solar As per the filing, Reliance New E… https://t.co/QDnY7W5leA"
99,2021-10-27 15:12:18+00:00,"@TraderHarneet Sir, I entered exactly at that time in the market. As per my experience, hold on the Bluechip stocks… https://t.co/LCDdOorDRa"
